domainLength,visitCount,durationSeconds,isKnownAiDomain,hourOfDay,pathDepth,chatInterfacePresent,promptInputPresent,generateControlPresent,regenerateControlPresent,aiTermCount,streamingOutputPresent,fileUploadPresent,promptSubmitCount,generateClickCount,pasteEventCount,copyFromResponseCount,typedCharCountBucket,label
17,10,205,True,9,3,True,True,True,True,9,False,False,4,0,1,0,2,AI_INTERACTION
16,3,16,True,1,3,True,True,False,False,9,False,True,0,0,0,0,0,AI_CAPABLE_PAGE
25,22,564,False,11,5,False,False,False,False,0,False,False,0,0,0,0,0,NON_AI
11,18,684,True,14,1,True,True,True,True,13,True,True,6,3,5,0,3,AI_GENERATION
22,22,318,False,22,4,False,False,False,False,0,False,False,0,0,0,0,0,NON_AI
18,14,191,True,23,3,True,True,True,False,14,False,False,3,3,0,0,3,AI_INTERACTION
17,8,402,True,20,1,True,True,True,True,4,True,False,3,3,5,0,4,AI_GENERATION
20,50,662,True,2,3,True,True,True,True,5,True,True,7,7,2,0,2,AI_GENERATION
16,3,243,True,2,2,True,True,True,False,3,False,True,4,2,3,0,3,AI_INTERACTION
18,12,773,False,3,3,True,True,True,False,6,True,True,6,3,3,0,3,AI_GENERATION
20,26,358,False,4,2,False,True,False,False,0,False,False,0,0,0,0,0,NON_AI
21,16,64,False,7,0,False,False,False,False,0,False,False,0,0,0,0,0,NON_AI
14,32,669,True,11,3,True,True,True,True,11,True,False,2,1,0,0,3,AI_GENERATION
12,39,584,True,11,3,True,True,True,True,13,False,False,5,5,5,1,3,AI_GENERATION
13,32,365,True,5,4,True,True,True,True,4,False,True,3,3,1,0,2,AI_INTERACTION
21,38,499,False,16,1,False,False,False,False,0,False,False,0,0,0,0,0,NON_AI
21,11,669,True,15,1,True,True,True,True,6,True,False,3,8,1,0,3,AI_GENERATION
16,32,105,False,7,1,False,False,False,False,0,False,False,0,0,0,0,0,NON_AI
12,32,444,True,16,3,True,True,True,True,14,False,False,4,1,2,0,3,AI_INTERACTION
15,5,70,True,11,0,True,True,True,False,7,False,False,0,0,0,0,0,AI_CAPABLE_PAGE
8,40,540,False,13,0,False,False,False,False,0,False,False,0,0,0,0,0,NON_AI
21,34,352,True,13,1,True,True,True,True,7,False,False,1,1,2,0,2,AI_INTERACTION
24,9,340,False,19,2,False,False,False,False,0,False,False,0,0,0,0,0,NON_AI
25,22,184,False,21,3,False,False,False,False,0,False,False,0,0,0,0,0,NON_AI
10,15,475,True,17,4,True,True,True,False,7,True,False,3,1,1,0,4,AI_GENERATION
18,2,69,False,3,1,True,False,False,True,6,False,False,0,0,0,0,0,AI_CAPABLE_PAGE
17,11,43,True,11,0,True,True,True,False,4,False,False,0,0,0,0,0,AI_CAPABLE_PAGE
23,24,90,True,4,4,True,True,True,True,15,False,False,3,7,5,3,2,AI_GENERATION
17,8,359,True,4,1,True,True,True,True,5,False,True,4,1,0,0,1,AI_INTERACTION
12,6,274,True,2,2,True,True,True,True,15,False,False,3,1,2,0,2,AI_INTERACTION
9,40,75,False,7,5,False,False,False,False,0,False,False,0,0,0,0,0,NON_AI
23,30,461,False,11,2,False,False,False,False,0,False,False,0,0,0,0,0,NON_AI
10,13,457,False,6,3,False,False,False,False,0,False,False,0,0,0,0,0,NON_AI
21,4,299,False,19,2,False,False,False,False,0,False,False,0,0,0,0,0,NON_AI
12,17,146,True,14,2,True,True,True,True,12,False,True,3,0,1,0,3,AI_INTERACTION
16,5,151,True,18,1,True,True,True,True,14,False,False,1,0,1,0,1,AI_INTERACTION
11,11,7,True,19,3,True,True,True,False,5,False,False,0,0,0,0,0,AI_CAPABLE_PAGE
10,11,53,True,20,1,True,True,True,False,11,False,True,0,0,0,0,0,AI_CAPABLE_PAGE
13,25,60,True,8,2,True,True,True,False,7,False,False,0,0,0,0,0,AI_CAPABLE_PAGE
15,34,312,False,8,1,True,True,True,False,6,False,True,4,2,0,0,1,AI_INTERACTION
18,16,55,False,23,3,False,False,False,False,0,False,True,0,0,0,0,0,NON_AI
22,21,114,True,23,4,True,True,True,False,10,False,False,3,2,0,0,3,AI_INTERACTION
14,8,407,False,6,3,False,False,False,False,0,False,False,0,0,0,0,1,NON_AI
22,29,780,True,11,4,True,True,True,False,8,True,True,2,8,3,5,3,AI_GENERATION
9,12,511,False,14,0,False,False,False,False,0,False,False,0,0,0,0,1,NON_AI
21,3,89,True,17,3,True,True,True,False,10,False,True,0,0,0,0,0,AI_CAPABLE_PAGE
14,23,114,True,10,0,True,True,True,True,5,False,False,0,0,0,0,0,AI_CAPABLE_PAGE
22,26,366,False,22,1,True,True,True,False,11,True,False,1,8,4,0,3,AI_GENERATION
19,13,173,False,12,0,False,False,False,False,0,False,False,0,0,0,0,0,NON_AI
10,12,22,False,18,1,True,True,True,False,7,False,True,0,0,0,0,0,AI_CAPABLE_PAGE
10,11,93,True,3,2,True,True,True,True,5,False,False,0,0,0,0,0,AI_CAPABLE_PAGE
14,27,403,False,18,5,False,True,False,False,0,False,False,0,0,0,0,0,NON_AI
12,40,888,True,0,1,True,True,True,True,9,True,False,3,5,0,3,2,AI_GENERATION
20,4,90,False,4,3,True,True,False,False,11,False,True,0,0,0,0,0,AI_CAPABLE_PAGE
12,7,173,False,14,3,False,False,False,False,0,False,False,0,0,0,0,0,NON_AI
11,19,56,True,18,1,True,True,True,False,9,False,True,0,0,0,0,0,AI_CAPABLE_PAGE
22,11,504,False,3,1,True,True,True,True,8,False,True,7,3,5,3,4,AI_GENERATION
24,1,572,False,9,5,False,False,False,False,0,False,False,0,0,0,0,0,NON_AI
12,1,17,True,23,0,True,True,False,False,2,False,False,0,0,0,0,0,AI_CAPABLE_PAGE
9,12,432,False,5,0,False,False,False,False,0,False,False,0,0,0,0,0,NON_AI
10,10,83,True,20,3,True,True,True,False,10,False,True,0,0,0,0,0,AI_CAPABLE_PAGE
22,14,117,True,19,0,True,True,True,False,2,False,False,0,0,0,0,0,AI_CAPABLE_PAGE
14,5,603,True,2,4,True,True,True,True,14,True,False,8,4,2,0,4,AI_GENERATION
17,6,226,False,14,4,False,False,False,False,0,False,False,0,0,0,0,0,NON_AI
13,32,95,False,4,4,False,False,False,False,0,False,False,0,0,0,0,1,NON_AI
8,20,215,False,16,4,False,False,False,False,0,False,False,0,0,0,0,0,NON_AI
25,33,422,False,3,0,False,False,False,False,0,False,False,0,0,0,0,0,NON_AI
12,32,223,True,16,2,True,True,True,True,17,True,False,5,5,4,3,2,AI_GENERATION
24,9,286,True,16,1,True,True,True,False,7,False,False,2,1,2,0,2,AI_INTERACTION
20,30,182,False,17,4,True,True,True,True,15,False,False,3,2,0,0,2,AI_INTERACTION
15,10,219,True,15,1,True,True,True,True,8,False,False,2,2,1,0,2,AI_INTERACTION
23,32,286,True,19,2,True,True,True,False,10,False,False,4,0,0,0,1,AI_INTERACTION
18,45,287,True,10,1,True,True,True,True,12,False,False,3,2,2,1,2,AI_GENERATION
13,1,20,True,0,3,True,True,True,True,5,False,False,0,0,0,0,0,AI_CAPABLE_PAGE
21,22,524,False,8,0,False,False,False,False,0,False,False,0,0,0,0,0,NON_AI
19,9,574,False,1,4,False,False,False,False,0,False,False,0,0,0,0,0,NON_AI
20,12,355,True,19,2,True,True,True,False,15,False,False,4,1,2,0,1,AI_INTERACTION
16,17,55,True,15,0,True,True,True,True,10,False,False,0,0,0,0,0,AI_CAPABLE_PAGE
17,6,774,True,22,1,True,True,True,True,7,True,True,1,7,5,0,3,AI_GENERATION
17,30,467,False,1,0,False,False,False,False,0,False,False,0,0,0,0,0,NON_AI
17,4,93,True,21,1,True,True,True,False,12,False,True,0,0,0,0,0,AI_CAPABLE_PAGE
24,37,583,False,7,5,False,False,False,False,0,False,False,0,0,0,0,0,NON_AI
20,31,109,False,6,1,True,True,True,False,11,False,False,4,1,0,0,3,AI_INTERACTION
20,20,169,True,6,1,True,True,True,False,13,False,True,3,3,2,0,1,AI_INTERACTION
21,21,148,False,7,2,False,False,False,False,0,False,False,0,0,0,0,0,NON_AI
15,3,422,True,0,2,True,True,True,False,10,False,True,2,2,1,0,3,AI_INTERACTION
10,14,512,True,2,3,True,True,True,True,14,True,False,3,7,0,2,4,AI_GENERATION
23,30,582,False,18,3,False,False,False,False,0,False,False,0,0,0,0,0,NON_AI
20,25,56,True,22,2,True,True,True,True,2,False,False,0,0,0,0,0,AI_CAPABLE_PAGE
13,32,439,False,6,3,False,False,False,False,0,False,False,0,0,0,0,0,NON_AI
22,18,29,True,2,2,True,True,False,True,8,False,True,0,0,0,0,0,AI_CAPABLE_PAGE
13,25,76,True,20,1,True,True,True,False,3,False,False,0,0,0,0,0,AI_CAPABLE_PAGE
18,39,210,False,15,2,False,False,False,False,0,False,False,0,0,0,0,0,NON_AI
22,5,8,True,9,2,True,True,True,False,5,False,False,0,0,0,0,0,AI_CAPABLE_PAGE
20,18,45,True,6,3,True,True,True,False,9,False,False,0,0,0,0,0,AI_CAPABLE_PAGE
21,8,18,True,10,1,True,True,False,False,3,False,True,0,0,0,0,0,AI_CAPABLE_PAGE
22,5,51,False,8,1,True,True,True,False,7,False,True,1,3,1,0,1,AI_INTERACTION
17,23,78,True,14,2,True,True,True,True,13,False,False,2,2,0,0,1,AI_INTERACTION
16,10,634,True,6,2,True,True,True,True,9,True,False,8,5,3,4,3,AI_GENERATION
18,20,652,True,7,3,True,True,True,False,12,False,True,3,3,1,1,4,AI_GENERATION
25,15,98,True,12,3,True,True,True,True,9,True,False,8,2,0,0,4,AI_GENERATION
14,21,127,False,23,4,False,False,False,False,0,False,False,0,0,0,0,0,NON_AI
23,22,300,False,10,3,True,True,True,False,14,True,False,6,5,3,0,4,AI_GENERATION
16,6,49,False,7,4,False,False,False,False,0,False,False,0,0,0,0,0,NON_AI
21,24,396,False,14,3,False,False,False,False,0,False,False,0,0,0,0,0,NON_AI
13,1,350,False,9,4,False,False,False,False,0,False,False,0,0,0,0,0,NON_AI
10,23,29,True,0,1,True,True,True,True,5,False,False,0,0,0,0,0,AI_CAPABLE_PAGE
13,14,202,False,4,0,False,False,False,False,0,False,False,0,0,0,0,0,NON_AI
15,47,514,True,13,4,True,True,True,True,14,True,False,1,6,3,2,2,AI_GENERATION
20,30,551,False,20,2,False,False,False,False,0,False,False,0,0,0,0,0,NON_AI
11,10,547,True,19,2,True,True,True,True,13,False,True,1,4,0,5,4,AI_GENERATION
24,26,517,False,1,0,False,True,False,False,0,False,False,0,0,0,0,0,NON_AI
21,33,340,False,2,3,False,False,False,False,0,False,False,0,0,0,0,0,NON_AI
11,45,135,True,1,4,True,True,True,True,5,True,False,4,3,2,0,2,AI_GENERATION
18,16,78,True,23,2,True,True,True,False,6,False,True,0,0,0,0,0,AI_CAPABLE_PAGE
22,43,597,True,10,1,True,True,True,True,14,True,False,3,5,3,2,2,AI_GENERATION
20,20,21,False,11,0,False,True,True,False,9,False,True,0,0,0,0,0,AI_CAPABLE_PAGE
12,9,491,False,17,1,False,False,False,False,0,False,False,0,0,0,0,0,NON_AI
19,30,569,False,4,4,False,False,False,False,0,False,False,0,0,0,0,0,NON_AI
12,26,575,True,8,4,True,True,True,False,4,False,False,1,2,3,5,4,AI_GENERATION
17,38,444,False,9,4,False,False,False,False,0,False,False,0,0,0,0,0,NON_AI
19,32,62,True,4,2,True,True,True,True,13,False,True,1,3,3,0,2,AI_INTERACTION
10,13,428,False,8,3,True,True,True,True,12,True,True,2,7,2,6,2,AI_GENERATION
18,17,388,False,4,5,False,False,False,False,0,False,False,0,0,0,0,0,NON_AI
20,10,108,True,22,1,True,True,True,False,7,False,True,0,0,0,0,0,AI_CAPABLE_PAGE
19,11,56,True,18,0,True,True,True,False,7,False,False,0,0,0,0,0,AI_CAPABLE_PAGE
11,2,99,True,4,3,True,True,True,False,11,False,True,0,0,0,0,0,AI_CAPABLE_PAGE
19,5,523,False,20,2,False,True,False,False,0,False,False,0,0,0,0,0,NON_AI
10,12,148,True,3,4,True,True,True,False,10,False,True,2,1,0,0,1,AI_INTERACTION
20,14,298,True,1,2,True,True,True,True,6,True,True,1,6,3,4,3,AI_GENERATION
16,25,6,True,8,3,True,True,True,False,5,False,False,0,0,0,0,0,AI_CAPABLE_PAGE
16,17,597,False,17,4,False,False,False,False,0,False,False,0,0,0,0,0,NON_AI
16,40,513,True,20,2,True,True,True,True,15,False,True,5,5,0,4,3,AI_GENERATION
17,15,365,False,7,5,False,False,False,False,0,False,False,0,0,0,0,0,NON_AI
